smiles,reagent_id,dhodh_activity,rorgt_activity,ds_1,ds_2
CN(C)c1ccc(C=O)cc1,329,0.4004486501216888,0.5793303847312927,-5.9,-5.5
CCN(CC)c1ccc(C=O)cc1,330,0.4091497659683227,0.5805099010467529,-6.6,-5.8
O=Cc1ccc(Cl)cc1,334,0.3912589848041534,0.5650115013122559,-5.9,-5.3
CC(C)CC=O,337,0.4453266859054565,0.5489486455917358,-4.1,-4.0
O=Cc1c(F)cccc1Cl,339,0.3970751464366913,0.5605132579803467,-5.9,-5.5
O=Cc1ccc2c(c1)OCCO2,344,0.3955236077308655,0.5686250329017639,-6.9,-6.1
O=Cc1ccc(F)cc1,345,0.3897883594036102,0.5643255114555359,-5.9,-5.3
O=Cc1cccc(Br)c1,347,0.3906174302101135,0.5630154609680176,-5.7,-5.6
O=Cc1ccccc1[N+](=O)[O-],348,0.3943771123886108,0.5666917562484741,-6.2,-5.9
O=Cc1ccc(Cl)cc1Cl,351,0.4005121290683746,0.564189612865448,-6.1,-5.7
CCCCC(C)=O,358,0.4349262118339538,0.5434838533401489,-4.7,-4.2
CCCC(=O)CCC,359,0.4371331930160522,0.5497280955314636,-5.0,-4.5
CC(=O)CC(C)=O,360,0.4359544813632965,0.5291227102279663,-4.5,-4.1
N#Cc1ccncc1,362,0.3942953944206238,0.5604478716850281,-5.2,-4.4
CC(=O)c1cccc(Br)c1,367,0.3911063373088836,0.5674697160720825,-6.3,-5.9
CC(=O)c1ccc(C)cc1,368,0.3881067633628845,0.5722268223762512,-6.3,-6.1
CC(=O)c1cccc2ccccc12,377,0.3569948077201843,0.5738145112991333,-8.0,-7.2
CC(C)(O)C#N,378,0.4515022337436676,0.5568193197250366,-3.8,-3.7
CC(=O)C(C)(C)C,379,0.4338295459747314,0.5431731343269348,-4.5,-4.4
O=C1c2ccccc2-c2ccccc21,384,0.3387560248374939,0.5801449418067932,-7.7,-8.3
O=C1CCCCCCCCCCC1,387,0.4083089232444763,0.5547205805778503,-6.4,-7.2
O=C1CCCCCC1,388,0.4128500521183014,0.5478715896606445,-5.5,-5.2
CC(=O)c1ccc([N+](=O)[O-])cc1,392,0.3971693515777588,0.5723458528518677,-6.6,-6.1
CC(=O)c1ccc(Cl)cc1,394,0.3927660286426544,0.5703573226928711,-6.1,-5.8
O=C1CCCC1,395,0.4155764579772949,0.5426279306411743,-4.5,-4.1
CC(=O)c1ccccc1Cl,396,0.3938235938549042,0.5670369863510132,-6.5,-5.8
CC1CCCNC1,410,0.4151383638381958,0.5793372988700867,-4.7,-4.4
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,416,0.3975681364536285,0.5738364458084106,-7.0,-6.7
O=C(O)c1cccc([N+](=O)[O-])c1,417,0.3950344622135162,0.5735860466957092,-6.8,-6.1
CC(C)(C)C(=O)O,418,0.4377025961875915,0.5478115081787109,-4.6,-4.5
Nc1cccc(C(=O)O)c1,420,0.3866457045078277,0.5796725749969482,-6.4,-5.5
O=C(O)c1ccccc1Cl,421,0.394187867641449,0.5686935186386108,-6.2,-5.6
O=C(O)CCCCC(=O)O,422,0.4294528365135193,0.5365156531333923,-5.2,-4.7
O=C(O)c1ccccn1,423,0.3887380063533783,0.5680609345436096,-5.7,-5.2
O=C(O)c1ccc(O)cc1,424,0.3889352977275848,0.5722578167915344,-6.4,-5.5
O=C(O)CC(=O)O,425,0.4284433126449585,0.5265353918075562,-4.4,-4.1
CC(C)C(=O)O,431,0.4451256394386291,0.5482186079025269,-4.2,-3.8
NCCCCCC(=O)O,434,0.4305756688117981,0.5428574681282043,-4.7,-4.0
O=C(O)C=CC(=O)O,436,0.4305587410926819,0.547593891620636,-4.9,-4.3
O=C(O)c1ccc(Br)cc1,441,0.3899561762809753,0.5726683139801025,-6.3,-5.8
O=C1CC(=O)NC(=O)N1,442,0.4228362143039703,0.5554462671279907,-5.7,-5.6
O=C(O)c1ccncc1,444,0.3880224227905273,0.568562388420105,-5.6,-5.0
O=C(O)CO,454,0.4395921230316162,0.5295292139053345,-3.8,-3.2
O=C(O)CCCCCC(=O)O,455,0.4283181726932525,0.5381784439086914,-5.5,-5.1
