smiles,reagent_id,EGFR_activity,MET_activity,ds_1,ds_2
OCc1ccc2cccnc2c1,2999948,0.7820024847984314,0.875006479024887,-6.2,-6.5
Cc1cc(CC(=O)O)n[nH]1,3000334,0.520063928514719,0.9955912590026856,-4.7,-5.0
Clc1ncc(-c2ccccc2)cn1,3000367,0.6503913789987564,0.8081606984138489,-6.7,-7.2
Clc1ccnc2ccnn12,3000375,0.6949055999517441,0.9582382380962372,-4.9,-5.4
Nc1nccc(-c2cnccn2)n1,3000395,0.2638112336397171,0.8126457214355469,-6.1,-6.3
Cc1ccc(C)c(C=O)c1O,3000437,0.8545995235443116,0.887596994638443,-5.5,-5.8
CN(N)c1ccccn1,3000502,0.6183057397603988,0.8116018891334533,-4.9,-5.1
Nc1ccc2c(c1)NC(=O)CCC2,3000516,0.4763494849205017,0.928856748342514,-6.8,-7.0
N#Cc1ccc([N+](=O)[O-])cc1F,3000569,0.074534323439002,0.8958985149860382,-5.3,-5.8
O=c1[nH]c(Cl)nc2ccccc12,3000647,0.1477935768663883,0.8874692857265473,-6.5,-6.6
O=S(=O)(F)c1ccc(F)cc1,3000677,0.1575272347545251,0.6955570966005326,-5.4,-5.9
Fc1cc(Cl)ccn1,3000680,0.6649372994899749,0.994189828634262,-4.4,-4.8
O=Cc1cnccc1Cl,3000685,0.6940670192241669,0.980268168449402,-4.4,-4.9
N#Cc1ccncc1F,3000686,0.4290668949484825,0.9850424706935884,-4.5,-4.6
Clc1cnccc1Br,3000691,0.5290242686867714,0.99589501619339,-4.2,-4.6
Oc1nccc2ncccc12,3000712,0.5768272750079632,0.4513918444514274,-5.9,-5.8
Cn1cc(C=O)c2cc(F)ccc21,3000740,0.8341949641704559,0.964878624677658,-5.7,-6.0
Nc1ncccc1-c1ccccc1,3000757,0.4265786319971084,0.4181933462619781,-6.9,-7.7
Cc1cc(F)ccn1,3000768,0.7634628236293792,0.9583586394786836,-4.5,-4.8
Cc1cc(O)ccn1,3000775,0.6749909192323684,0.647066256403923,-4.8,-4.8
Cc1ccncc1O,3000804,0.5317876279354096,0.8133580446243286,-4.6,-5.1
Cc1cnc(C#N)cn1,3001027,0.4738823533058166,0.8515853762626648,-4.3,-4.4
Nc1ccc(-c2cccc(O)c2)cc1,3001047,0.7359829366207122,0.5443690150976181,-7.1,-8.0
CC(=O)c1ccc(N)c([N+](=O)[O-])c1,3001146,0.2250030536204576,0.4580703392624855,-5.7,-6.1
O=C(O)Cc1ccc2ocnc2c1,3001193,0.7857547968626022,0.9810853123664856,-5.8,-6.4
NNc1nc2ccc(F)cc2s1,3001247,0.9399385690689088,0.9944524943828584,-6.2,-6.3
Cc1ccn(C(C)(C)C(=O)O)n1,3001332,0.1970951490104198,0.9652149200439452,-5.1,-5.8
O=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,3001629,0.1154061581473797,0.657125273346901,-5.4,-5.5
O=Cc1cscc1Cl,3001649,0.831909716129303,0.985217136144638,-3.9,-4.2
O=Cc1cccnn1,3001820,0.5828493714332581,0.8640547573566437,-4.0,-4.3
N#COc1ccccc1,3001869,0.1537245314568281,0.6984908074140549,-4.4,-5.0
C=CCCCCCCCCCN,3001882,0.474384774826467,0.3586599419824779,-4.3,-5.3
N#Cc1cc(F)cc(C=O)c1,3001891,0.2774530727416276,0.9703181087970734,-5.1,-5.8
Cc1cc(CC(C)N)n[nH]1,3001902,0.9004015654325486,0.9991559028625489,-4.9,-5.1
c1ccc2ncc(C3CCCN3)cc2c1,3001938,0.9856374204158784,0.9931126177310944,-7.4,-7.9
NC(=S)c1ccn[nH]1,3002066,0.7037934809923172,0.9016889035701752,-4.4,-4.7
NCCc1cccc(N)c1,3002299,0.6434122502803803,0.9762085676193236,-5.5,-5.6
Clc1ccc2[nH]ncc2n1,3002303,0.5623243987560272,0.8941072404384613,-5.3,-5.5
NCc1ncccc1Cl,3002317,0.9286048591136932,0.9989558577537536,-4.8,-5.0
COc1cn[nH]c(=O)c1,3002352,0.5819250345230103,0.9351800799369812,-4.4,-4.8
Cn1ncc2c(N)nncc21,3002355,0.8120647370815277,0.9122933447360992,-5.6,-5.2
NCc1cccnn1,3002373,0.9036919295787812,0.9979048132896424,-4.5,-4.6
N#CCc1nc2cccnc2[nH]1,3002520,0.1299216415733099,0.9739981293678284,-5.4,-5.7
Nc1cccc2nccn12,3002578,0.7001961678266525,0.6787908256053925,-5.6,-5.6
Cc1cc2cc(CN)ccc2[nH]1,3002643,0.955679762363434,0.9868604183197022,-6.6,-6.5
CN(N)c1cnccn1,3002685,0.5432446673512459,0.9024090766906738,-4.5,-4.6
Nc1cccc2c(=O)[nH]ccc12,3002763,0.5244727030396461,0.5860352396965027,-6.5,-6.6
Cc1cccc2[nH]ncc12,3002774,0.9287394523620606,0.7582721769809723,-5.8,-6.1
CC(C)[C@@H](N)CC(=O)O,3002896,0.2658287105383351,0.9377035558223724,-4.1,-4.8
OCC(CO)c1ccc(F)cc1,3003005,0.3346291337162256,0.9864404141902924,-5.4,-5.8
Cc1cccc(Cl)c1CO,3003009,0.6042319044470787,0.9863342940807344,-5.2,-5.7
OCc1ccc(F)cc1O,3003026,0.6119815200567246,0.9823476612567902,-5.4,-5.5
CC=C(CC)C(=O)O,3003035,0.0310515278601087,0.3222332643344998,-4.3,-4.7
COC(=O)c1ccc(O)c(C)c1,3003144,0.6671687155961991,0.6965947151184082,-5.9,-6.3
O=C(O)CCOCCC(=O)O,3003517,0.1424380905926227,0.529460209980607,-4.0,-4.3
C=C(C)CCC(=O)O,3003619,0.2488048915285617,0.2912473361939192,-3.9,-4.4
Cc1cc(C)c(CCN)cc1C,3004066,0.700699320435524,0.9860197603702544,-5.9,-6.5
NCc1ccc2cc(O)ccc2c1,3004161,0.9673569083213808,0.9716911792755129,-6.8,-7.1
O=Cc1ccc2ccncc2c1,3004612,0.8269050240516662,0.8430848598480225,-5.7,-6.5
[N-]=[N+]=Nc1ccc2nc[nH]c2c1,3004690,0.8296562016010285,0.9879055738449096,-5.8,-6.0
c1ccc(C2CNCCCN2)cc1,3004801,0.696896630525589,0.9826938152313232,-6.5,-7.2
CC(CO)C(O)C(C)(C)C,3004920,0.5635336548089981,0.8195642620325089,-5.1,-5.0
Cc1ncccc1C#N,3004945,0.2320257514715194,0.7353823363780976,-4.5,-4.9
O=C(O)c1cnc2[nH]cnc2c1,3004967,0.6593420386314393,0.7148229002952575,-5.4,-5.8
O=Cc1ccc2ccc(Cl)cc2n1,3004998,0.7110844850540161,0.9000844240188599,-6.0,-6.8
FC(F)(F)c1nccc(Cl)n1,3005212,0.8830143272876739,0.9786611080169678,-5.0,-5.7
CCN1C[C@H]2C[C@@H]1CN2,3005219,0.374602894950658,0.4866188645362854,-4.6,-4.5
Cc1cc(CC(=O)O)ccc1O,3005513,0.5377821758389473,0.989999270439148,-5.8,-6.3
