smiles,reagent_id,PIK3CA_activity,MTOR_activity,ds_1,ds_2
C1CCNC1,152,0.8973850905895233,0.9474282681941986,-3.5,-3.8
NC1CCCCC1,155,0.8473542749881744,0.9635410904884338,-4.9,-5.0
Cc1ccnc(N)c1,158,0.7192659318447113,0.927399092912674,-4.9,-5.3
Cc1cccnc1N,159,0.5927348256111145,0.9251566767692566,-5.3,-5.4
Nc1ccccc1,174,0.2214868381619453,0.9948039650917052,-5.1,-5.0
Nc1ccccc1Br,181,0.6526273339986801,0.8453576266765594,-5.5,-5.4
Nc1ccc(Br)cc1,182,0.913805115222931,0.7671213030815125,-4.9,-5.2
Nc1cccc(Br)c1,183,0.9967596411705018,0.899504816532135,-5.2,-5.5
Cc1cccc(N)c1,188,0.9345394372940063,0.9128940522670744,-5.3,-5.7
Cc1ccccc1N,190,0.1917425990104675,0.915143060684204,-5.7,-5.5
COc1cccc(N)c1,191,0.6667201191186904,0.983610063791275,-5.1,-5.2
Cc1cccc(N)c1C,193,0.6832493752241134,0.8511639356613159,-5.8,-6.1
Nc1ccc(F)cc1,196,0.8410802721977234,0.7194185018539428,-5.2,-5.5
Nc1cccc([N+](=O)[O-])c1,198,0.1804750960320234,0.9034990012645722,-5.4,-5.5
Nc1ccccc1[N+](=O)[O-],199,0.2677460160106421,0.9328323304653168,-5.8,-5.5
Nc1c(Cl)cccc1Cl,200,0.9071320354938508,0.7834202289581299,-5.5,-5.7
Nc1ccccc1Cl,201,0.573985093832016,0.8325288116931915,-5.5,-5.3
Nc1ccc([N+](=O)[O-])cc1Br,202,0.5104292675852775,0.663547796010971,-5.5,-5.7
Cc1ccc([N+](=O)[O-])cc1N,206,0.1919905953109264,0.6761354923248291,-5.7,-5.8
Nc1ccc([N+](=O)[O-])cc1,210,0.388827246427536,0.9499897181987762,-5.1,-5.4
Cc1cc(C)c(N)c(C)c1,211,0.6370056837797164,0.5382261335849762,-6.1,-6.7
Nc1ccccc1N,213,0.0298872925341129,0.967883026599884,-5.1,-5.2
Cc1ccc(N)cc1,214,0.7237138122320175,0.9286436080932616,-4.9,-5.6
Nc1cccc(Cl)c1,218,0.9855514347553254,0.9004330933094025,-5.1,-5.5
Nc1cccc(F)c1,219,0.993930172920227,0.9003695666790008,-5.2,-5.6
Cc1cc(Br)c(N)c(Br)c1,220,0.9902784883975982,0.7683157742023468,-5.8,-6.2
CSc1cccc(N)c1,222,0.8065880417823792,0.954840350151062,-5.1,-5.2
Cc1ccc(N)cc1Cl,224,0.976730453968048,0.8935896337032319,-5.3,-5.9
Nc1cccc2ccccc12,225,0.0954398572444915,0.9895447373390198,-7.1,-6.9
Nc1ccc2ccccc2c1,226,0.1125270467251539,0.9922672212123872,-6.8,-6.9
Nc1cccc(S(N)(=O)=O)c1,230,0.8177935779094696,0.9919751167297364,-5.9,-5.7
Nc1ccc(Cl)cc1,231,0.8423273384571075,0.8004169940948487,-4.8,-5.3
Nc1ccccc1I,232,0.1692318260669708,0.9585761487483978,-5.5,-5.4
OC1CCCCCCC1,233,0.7294419467449188,0.9704751193523408,-5.7,-5.5
Nc1cccc(C(F)(F)F)c1,236,0.9936563491821288,0.9119955539703368,-6.2,-6.4
Nc1nccs1,239,0.7501515805721283,0.9905767798423768,-3.6,-3.4
Clc1ccccn1,242,0.8603339493274689,0.8567387938499451,-4.8,-4.9
Brc1cccnc1,243,0.9929823219776154,0.8214793920516967,-4.4,-4.7
Oc1ccccn1,249,0.0497046537697315,0.9906593561172484,-4.5,-4.6
O=C1Nc2ccccc2C1=O,253,0.7979083359241486,0.9800420820713044,-6.7,-6.4
Cc1ccc2ccccc2n1,258,0.4372570008039474,0.9524055123329164,-6.8,-6.9
O=[N+]([O-])c1ccc(O)c2ncccc12,259,0.6703799188137054,0.9407458186149598,-6.5,-6.3
Oc1cccc2cccnc12,260,0.7615782737731933,0.9828823029994964,-6.4,-6.5
Sc1ccc2ccccc2n1,261,0.0873883575201034,0.9721924841403962,-6.4,-6.6
O=C1Nc2cccc3cccc1c23,263,0.4534797132015228,0.9897587835788728,-7.6,-7.7
c1ccc2[nH]cnc2c1,267,0.0459881413727998,0.9752258241176606,-5.7,-5.8
NNc1nc2ccccc2s1,270,0.6607115715742111,0.9776619672775269,-6.1,-6.0
Cc1nc2ccccc2[nH]1,271,0.6388123810291291,0.9656159996986388,-6.2,-6.1
C=Cc1ccncc1,272,0.075684019178152,0.9793198823928831,-4.9,-5.3
c1ccc2[nH]nnc2c1,275,0.1472777316346764,0.980805730819702,-5.7,-5.7
Brc1ccccn1,276,0.946424388885498,0.8460100412368774,-4.8,-4.9
Sc1nc2ccccc2[nH]1,280,0.141351444274187,0.989563238620758,-5.8,-5.8
Sc1nc2ccccc2o1,281,0.0255656022578477,0.942871767282486,-5.8,-5.7
Sc1nc2ccccc2s1,282,0.3759537190198898,0.950690734386444,-5.7,-5.7
CS(=O)(=O)c1ccc2nc(N)sc2c1,299,0.3344664022326469,0.9733644366264343,-6.4,-6.0
Nc1cccc2cnccc12,303,0.4584924399852753,0.9894376814365388,-6.3,-6.2
O=C1C(=O)N(Cc2ccccc2)c2ccccc21,304,0.4636272009462118,0.9602594077587128,-8.6,-8.5
CCCCC=O,310,0.5665472105145455,0.9921270966529846,-3.7,-3.9
O=Cc1ccccc1,313,0.0869991790503263,0.96108917593956,-5.4,-5.4
O=Cc1ccc(O)cc1,314,0.2999617207795381,0.9783250391483308,-5.0,-5.3
O=Cc1cccc(C=O)c1,319,0.7452774167060852,0.9052097141742708,-5.4,-5.8
O=Cc1ccccc1O,320,0.0945616630837321,0.947467130422592,-5.6,-5.4
O=Cc1ccccc1Cl,321,0.418088948726654,0.7455430030822754,-5.5,-5.7
CN1C(=CC=O)C(C)(C)c2ccccc21,322,0.8348628491163254,0.7244263261556625,-6.4,-7.3
O=Cc1cccc([N+](=O)[O-])c1,323,0.1037803590297699,0.7932793200016022,-5.5,-5.9
O=Cc1ccc([N+](=O)[O-])cc1,324,0.2609449177980423,0.8404443144798279,-5.3,-5.5
O=Cc1cccc2ccccc12,325,0.0672871850430965,0.9684508860111236,-6.9,-7.2
O=Cc1c(O)ccc2ccccc12,326,0.0951981291174888,0.9682857394218444,-7.0,-7.0
CN(C)c1ccc(C=O)cc1,329,0.3768006503582001,0.7753073990345001,-5.1,-5.4
O=Cc1ccc(Cl)cc1,334,0.6884982526302338,0.629347774386406,-5.1,-5.5
CC(C)CC=O,337,0.0787828732747584,0.9897532880306243,-3.9,-4.4
O=Cc1c(F)cccc1Cl,339,0.928955614566803,0.6312662720680237,-5.6,-6.0
Cc1[nH]c2ccccc2c1C=O,343,0.3465167500078678,0.8962178230285645,-6.9,-6.6
