smiles,pik3ca_activity,mtor_activity
Oc1cccc(-c2nc(N3CCOCC3)c3ncn(C4CCN(Cc5ccc(N6CCOCC6)nc5)CC4)c3n2)c1,1.0,1.0
c1cnc2sc3c(N4CCOCC4)ncnc3c2c1,1.0,
OCCCN(Cc1cccc2ccccc12)c1cc(N2CCOCC2)nc(O)n1,0.0,
CS(=O)(O)=Nc1cccc(-c2nc(N3CCOCC3)c3ncnc-3[nH]2)c1,1.0,
O=C1/C(=C/c2c(-c3ccc(Cl)cc3)[nH]c3ccccc23)Oc2cc(O)cc(O)c21,1.0,1.0
Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CCC(C(=O)NCc4cccnc4)CC3)ccnc21,1.0,1.0
Oc1cccc(-c2nc(N3CCOCC3)c3[nH]cc(C4CCNCC4)c3n2)c1,1.0,
Clc1ccccc1-n1cnnc1-c1cc2c(s1)-c1ccccc1OCC2,1.0,
COC(=O)N1CCN(Cc2cnc(Nc3ccc(OC)nc3)c(-c3nc(C)nc(N)n3)c2)CC1,1.0,1.0
CCOc1ccc2cc(-c3nn(C)c4ncnc(N)c34)ccc2c1,0.0,0.0
COc1ccc(Nc2ncc(Cc3ccc(S(C)(=O)=O)cc3)cc2-c2nc(C)nc(N)n2)cn1,1.0,
CCNC(=O)Nc1ccc2c(c1)C(=O)/C(=C/c1cn(C)c3nccc(N4CC5CCC(C4)O5)c13)O2,1.0,1.0
N#Cc1c(N2CCOCC2)sc(-c2cn[nH]c2)c1-c1ccc(Cl)cc1,1.0,
Cc1ccc(-c2n[nH]c3ncnc(N)c23)cc1OCc1ccccc1,0.0,1.0
Cc1nc(N)nc(-c2cccnc2Nc2cnc(Cl)c(NS(=O)(=O)N3CCOCC3)c2)n1,1.0,
N#Cc1cccc(-c2cc(Nc3ccc4[nH]ncc4c3)nc(N3CCOCC3)n2)c1,0.0,
COc1cncc(-c2ccc3nc(NC(C)=O)nn3c2)c1,1.0,
Cc1c(Cl)cccc1Cn1c(SCC(=O)O)nc(=O)c2sc(N3CCOCC3)nc21,1.0,
CN(Cc1cc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc2s1)S(C)(=O)=O,1.0,
COc1ccc(C2C=C3C(C)=NC(N)=NC3N([C@H]3CC[C@H](OCCO)CC3)C2=O)cn1,1.0,1.0
Oc1cccc(-c2nc(N3CCOCC3)c3cccnc3n2)c1,1.0,
O=C(Nc1ccc(-c2nc(N3CCOCC3)c3ncccc3n2)cc1)Nc1cccnc1,1.0,1.0
CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(Cl)c3Cl)c2)cnc1N,1.0,
CN[C@@H](C)C(=O)N1CCN(c2nc(N3CCOCC3)nc(-n3c(C(F)F)nc4ccccc43)n2)CC1,1.0,
O=C(c1ccc(C(=O)C(F)(F)F)cc1)N1CCOc2ccc(-c3ccc4c[nH]nc4c3)cc2C1,1.0,
O=C(c1ccc(C(=O)C(F)(F)F)cc1)N1CCOc2ccc(-c3ccc4cn[nH]c4c3)cc2C1,1.0,
CN(Cc1ccccc1)c1cnc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2n1,1.0,
CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCNCC4)c3n2)cc1,1.0,
Cc1nc(N)cc2c1cc(-c1cnc3nc[nH]c3c1)c(=O)n2C1CCCC1,1.0,1.0
C[C@@H]1CN(S(C)(=O)=O)C[C@H](C)N1Cc1cn2cc(-c3cnc(N)nc3)nc(N3CCOCC3)c2n1,1.0,
