smiles,egfr_activity,met_activity
c1ccc2ncc(Nc3ccnc(Nc4ccc(OCCCN5CCCCC5)cc4)n3)cc2c1,1.0,1.0
CCC=S(O)(O)=Nc1cccc(Nc2ccc3ncn(C)c(=O)c3c2)c1C#N,1.0,1.0
Nc1n[nH]c2cc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)ccc12,1.0,1.0
Nc1ccc(-c2cncc(OCC(N)Cc3c[nH]c4ccccc34)c2)cc1C(=O)c1ccccc1F,1.0,1.0
O=C(O)c1ccccc1Nc1ccnc(Nc2ccc3[nH]ncc3c2)n1,1.0,1.0
O=C1Nc2ccc3ncsc3c2C1=CNc1ccc(S(=O)(=O)Nc2ccccn2)cc1,1.0,1.0
COc1cc(-c2ccc3[nH]nc(C(=O)Nc4ccccc4)c3c2)ccc1O,1.0,1.0
CCCCOc1ncnc2[nH]cc(-c3ccccc3)c12,1.0,1.0
Cc1cccc(NC(=O)Nc2ccc(-c3cncc4c3c(N)nn4C)cc2)c1,1.0,1.0
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,1.0,1.0
CN(C)C(=O)Nc1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,1.0,1.0
O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,1.0,1.0
O=C(Nc1cnccn1)Nc1ccnc2ccc(C(F)(F)F)cc12,1.0,1.0
COc1cc(C=C(C#N)c2nc3ccccc3[nH]2)c(Br)cc1O,1.0,1.0
Cc1n[nH]c2ccc(-c3cncc(OCC(CN)Cc4ccccc4)c3)cc12,1.0,1.0
N#Cc1ncc2nc1OCCCCCOc1cc(CCCO)c(Cl)cc1NC(=O)N2,1.0,1.0
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,1.0,1.0
COc1cc(-c2ccc3c(c2)Nc2ccc(CCOc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1OCC(O)CO,1.0,1.0
COc1ccc(C(=O)N2c3ccccc3Sc3c(Cl)cncc32)cc1,1.0,1.0
Cc1csc(NC(=O)c2sc3nc(-c4ccncc4)ccc3c2N)n1,1.0,1.0
Cc1cccc(NC(=O)Nc2ccc(-c3csc4ccnc(N)c34)cc2)c1,1.0,1.0
O=C(c1cc(-c2ccc3[nH]ncc3c2)on1)N1CCCC(O)C1,1.0,1.0
Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,1.0,1.0
CCOc1nc(C(=O)NCc2ccncc2)cc(N)c1C#N,1.0,1.0
