smiles,egfr_activity,met_activity
Nc1[nH]nc2ccc(-c3nnn(Cc4ccccc4)c3I)cc12,1.0,1.0
Oc1ccc(NCc2cc(O)ccc2O)cc1,0.0,
CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1ccc(C#N)cc1)n2C,1.0,1.0
COc1cc2c(cc1OC)Sc1nc(C)nc(Nc3ccc4c[nH]nc4c3)c1NC2,0.0,
CCN1C(=O)C(C)(C)c2cc3[nH]c4c(c3cc21)CCCc1c-4n[nH]c1C,1.0,1.0
O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1.0,
COc1nc(Nc2ccc(-c3nc4ccccc4s3)c(OC)c2)c2cc[nH]c2n1,1.0,
Oc1ccc(CN(Cc2cc(Cl)cc(Cl)c2O)C(=S)Nc2ccccc2)cc1,1.0,
Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@H]6CCCNC6)c45)ccc32)c1,1.0,
CCO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,1.0,
Cc1cccc(N(C)c2ncnc3cc(C)c(C)cc23)c1,1.0,
COc1ccc(C2CC(c3ccc(Br)cc3)=NN2c2nc(-c3ccc(Cl)cc3)cs2)cc1,0.0,
Cc1cccc(NC(=O)Cc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,1.0,1.0
Clc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.0,
Cc1[nH]c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)c(C)c1CCC(=O)O,0.0,
CN(CCO)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.0,
NC(COc1cc(C=Cc2ccncc2)cnc1Cl)Cc1c[nH]c2ccccc12,1.0,1.0
Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1,1.0,1.0
C=CC(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.0,
Cc1cccc(CN(Cc2ccc(F)cc2)C(=S)Nc2ccccc2)c1O,1.0,
O=C(Nc1cnc2[nH]cc(-c3ccccc3)c2c1)c1ccc(Cl)cc1,1.0,1.0
COc1cc(C2=C(c3c[nH]c4ccc(Br)cc34)C(=O)NC2=O)cc(OC)c1OC,1.0,
O=C(c1cccc(-c2cnc3[nH]ccc3c2)c1)N1CCOCC1,1.0,1.0
COc1cc2ncnc(NCc3ccccc3)c2cc1O,1.0,
Cc1ccc(C(=O)NS(=O)(=O)c2ccc(Br)cc2)c(Cl)n1,1.0,
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=S)Nc1c(F)cccc1F,0.0,
COc1ccc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc1,1.0,
C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,1.0,
COc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,1.0,
CN(C)CCNC(=O)c1c(SSc2c(C(=O)NCCN(C)C)c3ccccc3n2C)n(C)c2ccccc12,0.0,
CN(C)CCC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,1.0,
COc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,1.0,
COc1cc(C=NNc2ncnc3c2cnn3Cc2ccccc2)ccc1O,1.0,
COc1cc2ncnc(C#Cc3ccccc3)c2cc1OC,1.0,
CN(C)c1ccc(Nc2ncnc3cc(-c4ccccc4)sc23)cc1,1.0,
Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1-c1nnc(CCN2CCOCC2)o1,1.0,
Nc1nc(Nc2cccc(C(F)(F)F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,0.0,
O=c1ccc2ccc(O)c(O)c2o1,1.0,
CN(C)Cc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)[nH]1,1.0,
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,1.0,
Nc1nc(Nc2ccc(Cl)cc2)c2cc(CCc3ccccc3)[nH]c2n1,1.0,
O=C(/C=C/c1ccccc1)Nc1cc(Cl)cc(Cl)c1,0.0,
C=S(O)(O)=CCNCc1nc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cs1,1.0,
Cc1ccc(Nc2ncnn3ccc(C)c23)cc1O,1.0,
Nc1ncnc2c1c(-c1ccccc1)cn2C(CO)Cc1ccc(O)cc1,0.0,
O=C(Cc1c(SSc2[nH]c3ccccc3c2CC(=O)NCc2ccccc2)[nH]c2ccccc12)NCc1ccccc1,0.0,
Cc1cc(C)c(O)c(CN(Cc2ccc(O)cc2)C(=S)Nc2ccccc2)c1,1.0,
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,1.0,
Cc1ccc2[nH]c(=O)c(=NNc3ccccc3)cnc2c1,1.0,
CC(C)n1nc(-c2ccc3occc3c2)c2c(N)ncnc21,1.0,
COc1cc2ncnc(Nc3ccccc3-c3ccccc3)c2cc1OC,0.0,
CC(=O)Oc1cccc2c1c(C(=O)Nc1ccccc1)c(SSc1c(C(=O)Nc3ccccc3)c3c(OC(C)=O)cccc3n1C)n2C,0.0,
COc1cc(OC)cc(C2CC(c3ccc(Cl)c(Cl)c3)=NN2C(C)=O)c1,0.0,
CCOc1cc2ncnc(Nc3cccc(-c4nccs4)c3)c2cc1OCC,1.0,
O=[N+]([O-])c1ccc(C2CC(c3ccc(Br)cc3)=NN2c2nc(-c3ccc(Cl)cc3)cs2)cc1,0.0,
CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,1.0,1.0
O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)c1cccc2c1OCCO2,1.0,
N#Cc1cnc2cc3c(cc2c1Nc1cccc(Br)c1)OCO3,1.0,
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCNCC1,1.0,
O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccc(F)cc1,1.0,
Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,1.0,
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCC(C)CC1,1.0,
Cc1cncc2cccc(S(=O)(=O)N3CCCNCC3C)c12,1.0,1.0
O=C(O)C1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,1.0,
C=C(CN(C)C)C(=O)c1ccccc1,1.0,
COC(CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1)OC,1.0,
NC(=O)c1cc2c(-c3ccc(Br)c(F)c3F)cncc2s1,1.0,1.0
N#CC(C#N)=Cc1ccc2c(c1)OCO2,0.0,
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,1.0,
COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC,1.0,
Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccc(F)cc1,1.0,
Nc1nc(Nc2ccc(Cl)cc2F)c2c(n1)[nH]c1cccc(Cl)c12,0.0,
C=C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0,
COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)N=C5CC=C(F)CC5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,1.0,1.0
COc1ccc(C2=NN(C(N)=S)C(c3cccc4ccccc34)C2)cc1,1.0,
Cn1cncc1C(OCc1c(-c2ccc(OC(F)(F)F)cc2)cc(C#N)c(=O)n1C)c1ccc(C#N)cc1,1.0,1.0
CN1CCN(C(=O)Cn2c(-c3ccc(Cl)cc3)csc2=N)CC1,0.0,
CCOc1ccc2cc(-c3nn(C)c4ncnc(N)c34)ccc2c1,0.0,
CS(=O)(=O)CCNCc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(Cl)c4)c3c2)cs1,1.0,
Cc1csc(NC(=O)c2cc(F)cc(Oc3cncnc3)c2)n1,0.0,
CN(C)c1cccc(Nc2ncnc3cc(N)ncc23)c1,1.0,
COc1ccc(C(=O)C(C#N)C#N)cc1,0.0,
Fc1cccc(COc2ccc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)cc2Cl)c1,1.0,
Nc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4cc(CO)ccc4F)cc3)c12,1.0,1.0
N#Cc1cnc(Nc2cccc(Br)c2)c2cc(NC(=O)c3ccoc3)ccc12,0.0,
CCCCOc1cc2c(Nc3ccc(NC(=O)OCC)c(Cl)c3)ncnc2cc1OCCN(CC)CC,1.0,
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(O)CN,1.0,
O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)cc1O,1.0,
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(CCN(C)C)[C@@H](C)C(N)=O,1.0,
COC(=O)COCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,1.0,
NC(=O)Nc1ccc2ncnc(Nc3cccc(O)c3)c2c1,1.0,
Cn1ccnc1S(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(C(F)(F)F)c4)c3c2)o1,1.0,
COc1cc2ncc(C#N)c(Nc3ccc(Cl)cc3F)c2cc1OC,0.0,
COc1ccc(C2CC(c3ccccc3)=NN2c2nc(O)cs2)cc1,1.0,
N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2,1.0,1.0
Fc1ccccc1-c1nnc(SCc2ccccc2)o1,1.0,
CC(=O)Nc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc(C(=O)O)cc2)cc1,0.0,
O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccc(Cl)cc1,1.0,
Cc1ccc(C2CC(c3ccc(Br)c(Br)c3)=NN2C(N)=S)cc1,1.0,
O=C(Nc1ccccc1)NN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O,0.0,
Oc1csc(N2N=C(c3ccc(Br)cc3)CC2c2ccc(Cl)cc2)n1,1.0,
COc1cc2c(cc1OC)Sc1ncnc(Sc3cccc(Br)c3)c1NC2,1.0,
CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1,1.0,
Brc1cccc(Nc2nc[nH]c3cc4nccc4cc23)c1,1.0,
CN(C)CCCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0,
