smiles,dhodh_activity,rorgt_activity
CC(=O)N1CCC(C(=O)NC2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCC(C(=O)NC2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)CC2)CC1,,1.0
CC(=O)N1CCC(C(=O)NC2CCC3(S(=O)(=O)c4ccc(F)cc4)c4ccc(C(F)(C(F)(F)F)C(F)(F)F)cc4CCC23)CC1,,1.0
CC(=O)N1CCC(C(N)=O)(C(=O)N2CCC(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCC(C(N)=O)(C(=O)N2CCC(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCC(C(N)=O)(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCC(C(O)(c2ccccc2)c2ccc3nc(Cl)c(OC(C)C)c(Cl)c3c2)CC1,,1.0
CC(=O)N1CCC(C(O)c2ccc(CN3C(C)CCC(c4ccccc4)S3(=O)=O)c(F)c2)CC1,,1.0
CC(=O)N1CCC(C)(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCC(CNC(=O)C2CCC3(S(=O)(=O)c4ccc(F)cc4)c4ccc(C(F)(C(F)(F)F)C(F)(F)F)cc4CCC23)C1,,1.0
CC(=O)N1CCC(CO)(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCC(N)(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCC(Nc2ccc(CN(CC(C)C)S(=O)(=O)Cc3ccccc3)cc2)CC1,,1.0
CC(=O)N1CCC(O)(C(=O)N2CCC(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCC(O)(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCC(O)(C(=O)NC2CCC3(S(=O)(=O)c4ccc(F)cc4)c4ccc(C(F)(C(F)(F)F)C(F)(F)F)cc4CCC23)CC1,,1.0
CC(=O)N1CCC(OC(N)=O)(c2ccc(CN3C(C)CCC(c4ccccc4)S3(=O)=O)c(F)c2)CC1,,1.0
CC(=O)N1CCC(Oc2ccc(CN(CC(C)C)S(=O)(=O)Cc3ccccc3)cc2)CC1,,1.0
CC(=O)N1CCC(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,,1.0
CC(=O)N1CCC(c2ccc(C(OCc3c(F)cccc3F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccccc2)C1,,1.0
CC(=O)N1CCC(c2ccc(CN(CC(F)(F)F)S(=O)(=O)Cc3ccccc3)c(F)c2)CC1,,1.0
CC(=O)N1CCC(c2cn(C)c3ncc(NC(=O)c4cccc(C#N)c4)c(C)c23)CC1,,1.0
CC(=O)N1CCC(c2nc(-c3ccccc3)c3c(n2)C2(C)C=C(C#N)C(=O)C(C)C2CC3)CC1,,1.0
CC(=O)N1CCC2(C1)CN(c1ccc(CN(CC(C)C)S(=O)(=O)Cc3ccccc3)cc1)C2,,1.0
CC(=O)N1CCC2(CC1)CN(c1ccc(CN(CC(C)C)S(=O)(=O)Cc3ccccc3)cc1)C2,,1.0
CC(=O)N1CCC2(CCN(c3ccc(CN(CC(C)C)S(=O)(=O)Cc4ccccc4)cc3)C2)C1,,1.0
CC(=O)N1CCC=C(c2nc(-c3ccccc3)c3c(n2)C2(C)C=C(C#N)C(=O)C(C)C2CC3)C1,,1.0
CC(=O)N1CCCN(c2ccc(CN(CC(C)C)S(=O)(=O)Cc3ccccc3)cc2)CC1,,1.0
CC(=O)N1CCN(C(=O)C2CC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)C2CCC(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)C2CCC(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)CC2)CC1,,1.0
CC(=O)N1CCN(C(=O)C2CCC(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)C2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)C2CCC3(S(=O)(=O)c4ccc(F)cc4)c4ccc(C(F)(C(F)(F)F)C(F)(F)F)cc4CCC23)CC1,,1.0
CC(=O)N1CCN(C(=O)C2CCC3(S(=O)(=O)c4ccc(F)cc4)c4ccc(I)cc4CCC23)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(C)(O)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(C)(OCc4c(F)cccc4F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)c(F)c3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)c(C)c3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(F)(c4ccccc4)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)c(F)c3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(O)(c4ccccc4)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(OC(C)C)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(OC(C)C4CCCCC4)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(OC(C)c4ccccc4)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(OC4CCCC4)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,,1.0
