smiles,reagent_id,gsk3b_activity,jnk3_activity,ds_1,ds_2
CN1C(=CC=O)C(C)(C)c2ccccc21,322,0.0004406475712056,0.0001242982553739,-7.7,-7.4
O=Cc1cccc([N+](=O)[O-])c1,323,0.0005551554619512,0.0174582806706894,-5.6,-6.1
O=Cc1ccc([N+](=O)[O-])cc1,324,0.0007402825419563,0.0084065162267506,-5.7,-5.9
O=Cc1cccc2ccccc12,325,0.0020759052021503,0.1171522986609488,-7.0,-7.2
O=Cc1c(O)ccc2ccccc12,326,0.0675426026696186,0.0401734252780443,-7.0,-7.2
O=Cc1ccc(Cl)cc1,334,0.0004015856312136,0.0014232168509806,-5.4,-5.6
CC(C)CC=O,337,5.002366924778552e-07,1.3899886187552737e-06,-3.7,-3.7
O=Cc1c(F)cccc1Cl,339,0.0008066733625375,0.0544468741944911,-5.7,-5.6
O=Cc1ccc2c(c1)OCCO2,344,0.0002507539309672,0.0001300158757256,-6.2,-6.1
O=Cc1ccccc1OC(F)F,346,0.0026814559598278,0.0141199286894334,-5.9,-6.0
O=Cc1cccc(Br)c1,347,0.0001900251718623,0.0026906102983048,-5.4,-5.6
O=Cc1ccccc1[N+](=O)[O-],348,0.0002864775749628,0.043857230242429,-5.4,-5.8
O=Cc1ccc(Cl)cc1Cl,351,0.000579064794086,0.0233725646409467,-5.8,-5.9
O=Cc1ccc(OC(=O)c2cccc([N+](=O)[O-])c2)cc1,354,0.0006119347725254,0.0116578179401585,-7.7,-7.7
O=Cc1ccc(O)cc1O,356,0.2697331646457314,0.0041590129138967,-5.4,-5.5
CCCCC(C)=O,358,1.0813109081670711e-05,6.895583199535487e-07,-4.1,-4.1
CCCC(=O)CCC,359,2.060836445104226e-06,3.63465185020672e-07,-4.4,-4.3
CC(=O)CC(C)=O,360,7.625952605335199e-06,3.8357467970898004e-07,-3.7,-3.8
N#Cc1ccncc1,362,0.0488560332460639,0.0002603449001762,-4.5,-4.5
CC(=O)c1cccc(Br)c1,367,5.169400966830701e-05,9.314358687184664e-05,-5.8,-5.9
CC(=O)c1ccc(C)cc1,368,4.510674496953811e-05,2.8803235566876584e-05,-6.1,-6.2
O=C(c1ccccc1)c1ccccc1,370,0.0002253807519915,0.0003060450575338,-7.5,-7.9
CC1CCC(=O)CC1,375,8.460070764130794e-06,1.254560156956036e-06,-4.9,-5.4
CC(=O)c1cccc2ccccc12,377,0.0007637500982486,0.0019310258117073,-7.2,-7.6
CC(C)(O)C#N,378,0.0529546262881531,0.0918944725504291,-3.1,-3.3
CC(=O)C(C)(C)C,379,0.000106949546174,0.0006765756578478,-3.6,-3.8
O=C1c2ccccc2-c2ccccc21,384,0.0008955871633588,0.0140643910563085,-8.4,-8.6
O=C1CCCCCCCCCCC1,387,1.2257471647360297e-05,2.8140294494432935e-07,-7.4,-7.5
O=C1CCCCCC1,388,2.7023033248491097e-05,1.7051633630617758e-06,-4.8,-5.2
CC(=O)c1ccc(O)cc1,389,0.0148445674391901,0.0002720858252074,-5.7,-6.0
CC(=O)c1ccc([N+](=O)[O-])cc1,392,0.0002437526715443,0.0010358692753825,-6.2,-6.4
CC(=O)c1ccc(Cl)cc1,394,7.740528384733678e-05,0.0001156496110977,-6.0,-6.0
O=C1CCCC1,395,0.00022603571223,5.9881577563624e-06,-3.9,-4.0
CC(=O)c1ccccc1Cl,396,6.381557400232691e-05,0.0008097992846181,-5.7,-5.8
CN1CCC(=O)CC1,398,1.015930140243334e-05,8.265048114273594e-07,-4.1,-4.3
CC1CCCNC1,410,5.248640497972557e-07,5.121386794094234e-10,-4.2,-4.3
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,416,0.0001925836294334,0.0017155711492038,-6.1,-6.8
O=C(O)c1cccc([N+](=O)[O-])c1,417,0.0001711532199914,0.0007873023682798,-5.9,-6.5
CC(C)(C)C(=O)O,418,0.0004848861030227,7.057036647088006e-05,-3.4,-3.7
O=C(O)c1ccccc1Br,419,0.0003458972111595,0.000766834468839,-5.4,-5.9
Nc1cccc(C(=O)O)c1,420,0.0007267936630927,0.0002980634095762,-5.4,-5.7
O=C(O)c1ccccc1Cl,421,0.0001742283021144,0.0007220915145514,-5.5,-5.8
O=C(O)CCCCC(=O)O,422,0.0112690337505142,0.0095545529871252,-4.3,-4.9
O=C(O)c1ccc(O)cc1,424,0.0375940955443436,7.278387404774017e-05,-5.5,-5.9
O=C(O)CC(=O)O,425,0.0002804899546218,0.0012536595546122,-3.4,-3.6
CC(C)C(=O)O,431,0.0002484210353042,0.0001017505354052,-3.6,-3.7
O=C(O)Cc1cccc2ccccc12,432,0.0007429082382117,0.0015131327739624,-7.3,-7.6
NCCCCCC(=O)O,434,0.0093072915252406,0.0055380768074674,-4.2,-4.2
O=C(O)C=CC(=O)O,436,0.0007236201546991,0.0001188643619668,-4.1,-4.2
O=C(O)c1ccc(Br)cc1,441,8.324391704501729e-05,8.478722779161566e-05,-5.9,-5.9
O=C1CC(=O)NC(=O)N1,442,1.2420659451214264e-06,2.9816053986143895e-08,-4.8,-4.9
O=C(O)CO,454,0.0009615331693964,0.0119992908054712,-2.7,-3.0
O=C(O)CCCCCC(=O)O,455,0.0018454503927503,0.0018783101184503,-4.9,-4.9
O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],456,0.000405557122107,0.0015648158505567,-6.3,-6.8
O=C(O)CS,461,0.0001524642543872,0.0069293575144829,-2.6,-2.7
O=C(O)c1ccc(F)cc1,464,0.0001566620711206,0.0001553660922481,-5.7,-5.9
O=C(O)c1cccc(O)c1,465,0.0002211821032169,1.2190839290476402e-05,-5.5,-5.6
CCCCC(=O)O,468,0.000150421375947,8.918211656044329e-05,-4.0,-3.9
CCCC(=O)O,470,6.377498878629473e-05,7.129827067369782e-05,-3.5,-3.5
O=C(O)c1ccc(Cl)cc1,471,0.0001250538504284,6.92558291273693e-05,-5.8,-5.9
O=C(O)c1ccccc1O,472,0.0014188181787432,0.0003143160907343,-5.5,-5.7
O=C(O)c1cccnc1,473,3.668014758134971e-06,2.348256620303697e-06,-4.9,-5.0
CCCCCCCCC(=O)O,474,0.0005996697513865,0.0022492622834134,-4.7,-4.9
Nc1ccc(C(=O)O)cc1,476,0.000916055312627,4.143223793147667e-05,-5.5,-5.6
O=C(O)CCCCCCC(=O)O,487,0.0032752056210938,0.0074284222604563,-5.0,-5.1
O=C(O)c1ccc2ccccc2n1,488,0.0002990442319502,6.481929075356351e-05,-7.0,-7.1
O=C(O)c1ccco1,490,3.2214465748663723e-06,9.310063449590124e-07,-4.3,-4.4
CCCCO,493,4.764151688624933e-05,5.370320624872485e-07,-3.2,-3.4
CCC(C)O,494,1.392878664866204e-05,5.970738304101331e-06,-3.3,-3.4
OC1CCCCC1,497,0.0009534910124608,1.874463965358056e-05,-4.4,-4.6
COCCO,500,0.0020469067211178,0.0092891166290028,-2.6,-2.8
CC(O)C(C)O,503,0.0663939199937431,0.1010385405912529,-3.3,-3.5
OCCCCO,504,0.0012300055025487,3.572111155167081e-05,-3.2,-3.4
C=C(C)CO,506,0.0001101562554765,3.0621364835515736e-06,-3.2,-3.6
CC(C)CCO,510,3.993745575403408e-07,5.8599971463978896e-08,-3.7,-3.9
CC(C)CO,512,8.676020158783978e-05,6.718670178620606e-07,-3.3,-3.5
CCCO,513,2.8694107838177542e-05,1.9254981735834697e-08,-2.7,-3.0
CCCCS,518,8.333636687885807e-05,4.902075356703958e-07,-2.9,-2.9
OC1CCCC1,521,0.0347338092016637,0.0030569599693825,-3.5,-3.9
Nc1ncnc2[nH]cnc12,524,0.5234902069903911,4.967199850785193e-05,-4.9,-4.9
CC(C)CC(N)C(=O)O,528,1.4091025472857307e-06,3.2338636100538884e-07,-4.5,-4.6
CC(O)C(N)C(=O)O,530,3.7503829077267536e-05,0.0002049247929775,-3.7,-3.8
CC(C)C(N)C(=O)O,532,2.0074816893963668e-06,8.910903648835946e-06,-4.0,-4.2
Ic1ccccc1,534,0.0045164704158227,3.377568140717806e-05,-4.6,-4.7
N#CCc1ccccc1,535,0.0006071764134709,2.9534406868912543e-05,-5.2,-5.4
O=[N+]([O-])c1cc(Cl)ccc1Cl,538,0.0002081196512156,0.0092448857589943,-5.5,-6.1
Cc1ccc(Br)cc1,539,5.660265808933178e-06,1.018388567026584e-06,-5.3,-5.3
Oc1ccccc1F,544,0.0010364531557092,1.4253057850932788e-05,-5.0,-5.1
Oc1ccc(Br)cc1,545,9.264627653593344e-05,8.24448565008365e-07,-4.9,-5.2
Oc1ccccc1Cl,546,0.0018966073928965,1.6230959034862794e-05,-5.1,-5.0
Oc1ccc(Cl)cc1,547,0.000300547734509,1.866342521509548e-06,-4.8,-5.2
Sc1ccc(Cl)cc1,548,0.0003880584759961,1.2666540109762537e-05,-4.8,-4.7
Nc1cccc(O)c1,549,0.0067322831943783,6.992575264975248e-06,-4.7,-4.8
O=[N+]([O-])c1ccc(O)cc1,550,0.0068993919344393,0.0005791107129496,-5.3,-5.7
Oc1c(Cl)cc(Cl)cc1Cl,551,0.0072381624377716,0.0021672630941758,-5.5,-5.4
Cc1ccc(O)cc1,560,0.0001137943726892,6.332923772773775e-07,-5.0,-5.5
Cc1cccc(O)c1,561,0.0012577234058198,3.2736703767853014e-06,-5.1,-5.3
Cc1ccccc1O,562,0.0005101200333975,6.808240913013427e-06,-5.2,-5.3
Oc1ccc(F)cc1,564,0.0024008823974482,5.117939074229941e-06,-4.8,-5.1
Oc1ccccc1,566,0.0001367079368843,2.641619137926853e-07,-4.5,-4.8
Cc1cccc(C)c1O,567,5.459149016208458e-05,2.967955156168996e-06,-5.6,-5.6
Oc1cccc(Br)c1,568,0.0009448954713434,1.152205017161869e-05,-5.0,-5.1
Oc1ccc(Br)cc1Br,570,0.0031519084148264,4.661232242151037e-05,-5.3,-5.3
N#Cc1ccc(O)cc1,571,0.2815218097763136,0.0022941379132943,-5.0,-5.4
Oc1cccc(Cl)c1,572,0.0021720336550572,3.383205937399823e-05,-4.9,-5.1
O=[N+]([O-])c1ccccc1O,573,0.0024342239095024,0.0015195667295276,-5.4,-5.5
